timestamp,steps,heart_rate,oxygen,body_temp
2025-03-27 16:01:37,0,111,91.59222930023533,38.1
2025-03-27 16:01:42,0,122,94.30506223890694,38.8
2025-03-27 16:01:47,10,130,88.24150550806392,37.4
2025-03-27 16:01:52,5,123,93.36983339089792,37.5
2025-03-27 16:01:57,15,40,90.44481436366297,37.9
2025-03-27 16:02:02,5,82,91.62084668423893,38.3
2025-03-27 16:02:07,0,110,92.17328169581285,37.4
2025-03-27 16:02:12,0,119,92.44597915626491,39.0
2025-03-27 16:02:17,0,75,94.84013225032066,37.1
2025-03-27 16:02:22,10,129,92.11191644604243,37.8
2025-03-27 16:02:27,0,120,87.9931753082802,37.9
2025-03-27 16:02:32,10,81,91.92841646763237,37.6
2025-03-27 16:02:37,0,111,92.46386370502272,37.1
2025-03-27 16:02:42,5,73,88.90775411343233,38.2
2025-03-27 16:02:47,0,84,85.52720311708782,37.8
2025-03-27 16:02:52,0,84,87.82084528572977,37.8
2025-03-27 16:02:57,5,90,93.13776750760684,37.3
2025-03-27 16:03:02,10,86,93.43229097088232,39.5
2025-03-27 16:03:07,5,73,86.11392293612515,37.9
2025-03-27 16:03:12,0,123,90.75462256843713,38.7
2025-03-27 16:03:17,5,70,93.5579167418597,37.3
2025-03-27 16:03:22,5,127,86.02813814752571,38.1
2025-03-27 16:03:27,5,84,89.18567430859962,37.7
2025-03-27 16:03:32,10,72,94.33811419743581,38.1
2025-03-27 16:03:37,10,127,91.52404043212303,39.1
2025-03-27 16:03:42,0,113,87.30963541273368,38.0
2025-03-27 16:03:47,10,85,90.70010622777512,38.6
2025-03-27 16:03:52,5,89,91.59321761444214,37.7
2025-03-27 16:03:57,0,86,91.04463149834852,38.0
2025-03-27 16:04:02,5,88,90.4544614985264,37.8
2025-03-27 16:04:07,0,118,88.81337274256623,38.0
2025-03-27 16:04:12,0,79,89.38189543717338,38.3
2025-03-27 16:04:17,0,125,92.95211645951493,37.6
2025-03-27 16:04:22,0,44,92.15036798651965,37.0
2025-03-27 16:04:27,10,123,90.90740910693097,38.2
2025-03-27 16:04:32,0,88,89.40640777871411,39.1
2025-03-27 16:04:37,15,124,91.59307292009431,37.5
2025-03-27 16:04:42,15,40,89.7711944605851,37.9
2025-03-27 16:04:47,0,115,86.62923851366057,37.8
2025-03-27 16:04:52,0,86,88.6008072008781,38.5
2025-03-27 16:04:57,5,127,89.51629527650326,37.5
2025-03-27 16:05:02,5,71,89.20721103149866,38.8
2025-03-27 16:05:07,15,123,88.97803503062585,38.4
2025-03-27 16:05:12,10,81,90.68695654624743,38.1
2025-03-27 16:05:17,5,89,85.62491926751493,37.4
2025-03-27 16:05:22,5,84,95,37.0
2025-03-27 16:05:27,10,84,89.5386464482973,37.7
2025-03-27 16:05:32,0,76,95,38.4
2025-03-27 16:05:37,0,80,86.61491391850231,37.3
2025-03-27 16:05:42,5,89,90.59183241138247,37.4
2025-03-27 16:05:47,0,88,85.76806470377747,38.6
2025-03-27 16:05:52,10,83,84.22019250611791,37.8
2025-03-27 16:05:57,10,86,90.25773757852382,37.0
2025-03-27 16:06:02,0,49,87.70715801032375,38.2
2025-03-27 16:06:07,5,72,87.1253127939179,37.6
2025-03-27 16:06:12,5,80,85.78324484303623,37.6
2025-03-27 16:06:17,0,88,95,37.5
2025-03-27 16:06:22,5,88,92.61312495929955,39.1
2025-03-27 16:06:27,5,84,92.06671970199427,37.0
2025-03-27 16:06:32,15,88,93.20372385764202,38.2
2025-03-27 16:06:37,5,86,88.84045414306634,37.7
2025-03-27 16:06:42,5,43,91.29536154544327,37.7
2025-03-27 16:06:47,10,111,88.137171816288,38.0
2025-03-27 16:06:52,5,128,94.06385296175087,38.1
2025-03-27 16:06:57,0,115,89.69578635518083,37.8
2025-03-27 16:07:02,15,73,94.96821786596182,37.7
2025-03-27 16:07:07,5,79,89.28203473806428,38.5
2025-03-27 16:07:12,10,73,95,38.4
2025-03-27 16:07:17,5,79,91.8196106897759,37.8
2025-03-27 16:07:22,0,120,94.40672016486272,38.6
2025-03-27 16:07:27,5,76,92.25934110771605,37.2
2025-03-27 16:07:32,10,126,94.56279337001857,38.3
2025-03-27 16:07:37,10,73,93.12746927618817,37.4
2025-03-27 16:07:42,5,46,88.83940271471415,38.3
2025-03-27 16:07:47,5,41,90.54629468555987,38.3
2025-03-27 16:07:52,5,73,86.36782639892955,37.9
2025-03-27 16:07:57,15,85,95,38.2
2025-03-27 16:08:02,0,71,93.30359785698234,38.5
2025-03-27 16:08:07,0,87,94.92197484760281,37.6
2025-03-27 16:08:12,0,113,90.63540561317762,37.4
2025-03-27 16:08:17,0,89,92.61522802064269,37.5
2025-03-27 16:08:22,15,74,93.21745827930084,37.4
2025-03-27 16:08:27,0,84,89.10811980944862,38.5
2025-03-27 16:08:32,5,72,85.46254419621212,38.1
2025-03-27 16:08:37,5,80,93.84006816255341,37.6
2025-03-27 16:08:42,0,70,90.44826950844137,38.3
2025-03-27 16:08:47,10,80,89.90345844346447,38.3
2025-03-27 16:08:52,0,78,87.90356177002649,37.9
2025-03-27 16:08:57,5,118,94.43103399427291,39.0
2025-03-27 16:09:02,5,78,90.25122553507111,37.6
2025-03-27 16:09:07,0,121,85.95770055995193,38.1
2025-03-27 16:09:12,0,113,91.6151586407909,38.0
2025-03-27 16:09:17,10,79,89.52375233802564,38.6
2025-03-27 16:09:22,15,50,88.67310817217728,37.3
2025-03-27 16:09:27,5,83,90.57537189191108,36.7
2025-03-27 16:09:32,0,83,92.48540244970073,38.3
2025-03-27 16:09:37,5,110,90.36219869777993,37.6
2025-03-27 16:09:42,15,117,94.41441471277179,37.5
2025-03-27 16:09:47,5,77,91.98448619861901,38.0
2025-03-27 16:09:52,5,79,93.58065757356944,37.9
2025-03-27 16:09:57,0,79,95,37.5
2025-03-27 16:10:02,5,81,85.92051538871532,37.8
2025-03-27 16:10:07,15,90,88.74073898247252,38.7
2025-03-27 16:10:12,5,124,92.81724326233888,37.6
2025-03-27 16:10:17,0,121,91.85813654866274,38.4
2025-03-27 16:10:22,0,78,95,38.2
2025-03-27 16:10:27,10,82,90.32023844256453,37.5
2025-03-27 16:10:32,0,84,90.6630805505317,37.6
2025-03-27 16:10:37,5,73,95,38.2
2025-03-27 16:10:42,0,82,88.21469705332267,38.6
2025-03-27 16:10:47,0,81,93.28609810742685,38.5
2025-03-27 16:10:52,5,114,90.02799454831273,37.8
2025-03-27 16:10:57,5,120,95,37.3
